round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,1.991225,69.813719,0.049030,0.902120,0.339550,0.117100,0.016790,8.693384,0.581665,5.056640,0.108668
1,100000,1.795508,94.154614,0.050080,0.811410,0.286180,0.096220,0.014860,6.896076,0.554817,3.826059,0.100783
2,100000,1.954789,86.939106,0.050590,0.893820,0.328470,0.113280,0.016980,6.439979,0.578638,3.726420,0.097359
3,100000,1.870878,60.036957,0.054900,0.879370,0.300980,0.100990,0.016850,6.394271,0.534039,3.414793,0.096464
4,100000,1.921047,55.080158,0.049660,0.897950,0.314060,0.105190,0.016620,6.561680,0.548982,3.602242,0.092355
5,100000,1.906795,53.765967,0.047680,0.902970,0.317920,0.107100,0.016770,6.575054,0.558605,3.672858,0.091407
6,100000,1.833195,64.001294,0.059700,0.884740,0.304550,0.104190,0.015470,6.516781,0.548904,3.577087,0.088690
7,100000,1.842297,62.030216,0.057760,0.876960,0.294360,0.101220,0.015500,6.502373,0.531601,3.456669,0.086723
8,100000,1.760965,59.522210,0.068900,0.846520,0.284150,0.097780,0.014930,6.519330,0.525291,3.424544,0.088697
9,100000,1.794747,52.440465,0.060290,0.878200,0.303280,0.104530,0.015070,6.553080,0.542619,3.555826,0.087637
10,100000,1.800570,55.755146,0.059820,0.873680,0.291950,0.101680,0.015080,6.583278,0.533377,3.511366,0.086604
11,100000,1.827667,54.970303,0.060220,0.872410,0.290250,0.100170,0.014610,6.499415,0.526661,3.422986,0.086857
12,100000,1.806901,55.427364,0.062320,0.862090,0.284590,0.098970,0.015210,6.506604,0.527760,3.433926,0.086427
13,100000,1.867976,50.464743,0.052110,0.886890,0.309190,0.104780,0.015030,6.562541,0.547356,3.592048,0.083840
14,100000,1.779985,64.727400,0.065810,0.853480,0.286010,0.098610,0.014240,6.495194,0.533016,3.462040,0.083802
15,100000,1.748381,67.075432,0.070220,0.843550,0.279460,0.098830,0.013740,6.540650,0.530311,3.468576,0.085295
16,100000,1.808978,78.349801,0.066010,0.857870,0.303680,0.105950,0.014240,6.525285,0.555109,3.622245,0.084556
17,100000,1.782271,60.214083,0.063500,0.850970,0.289340,0.103220,0.013530,6.556517,0.542031,3.553835,0.085307
18,100000,1.718572,61.775921,0.068200,0.842440,0.273290,0.101310,0.013700,6.514234,0.531984,3.465468,0.085738
19,100000,1.702575,75.397978,0.070880,0.826720,0.259200,0.094060,0.013770,6.534239,0.509622,3.329992,0.083455
