round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,7870,0,244.041423,201.000000,5.760737,0.523157,0.044065,1.710569,0.017789,0.082211,0.404982,0.000000,140,647,6717,366,0
1,7406,0,573790.599379,121.000000,7.345801,0.000177,0.000021,1.158435,0.070078,0.095598,0.383628,0.000000,519,708,5880,299,0
2,7654,0,410441.749020,141.000000,6.534230,0.000161,0.000047,0.404745,0.089888,0.083094,0.394238,0.000000,688,636,6049,281,0
3,7054,0,363506.529629,145.000000,6.033881,0.000177,0.000062,0.331207,0.087752,0.098526,0.384323,0.000000,619,695,5456,284,0
4,6306,0,559584.471773,247.000000,6.496353,0.000140,0.000029,0.726863,0.058833,0.104345,0.389927,0.000000,371,658,5016,261,0
5,6327,0,671662.261893,368.000000,6.767504,0.000131,0.000020,0.932135,0.052157,0.082346,0.403670,0.000000,330,521,5240,236,0
6,6576,0,746605.680049,360.000000,6.552159,0.000105,0.000025,0.664997,0.070103,0.086223,0.399219,0.000000,461,567,5288,259,1
7,6056,0,665986.265687,345.000000,6.446664,0.000113,0.000032,0.568640,0.066876,0.103534,0.391745,0.000000,405,627,4775,249,0
8,6234,0,671153.452679,1080333.000000,6.324671,0.000108,0.000030,0.527673,0.071222,0.080366,0.402390,0.000000,444,501,5063,226,0
9,5669,0,706595.524960,1120425.000000,6.188040,0.000101,0.000028,0.507086,0.076733,0.086788,0.397911,0.000000,435,492,4519,222,1
10,5681,0,880325.023411,1187641.000000,6.421229,0.000091,0.000019,0.725978,0.060377,0.083964,0.407682,0.000000,343,477,4637,223,1
11,5412,0,885908.504804,1087200.000000,6.529010,0.000084,0.000019,0.631744,0.063008,0.089246,0.403153,0.000000,341,483,4389,199,0
12,5528,0,867998.023698,1054521.500000,6.320007,0.000083,0.000023,0.520011,0.075253,0.094609,0.394423,0.000000,416,523,4408,181,0
13,5377,0,858566.713223,1001401.000000,6.300725,0.000079,0.000026,0.413023,0.072903,0.087595,0.396936,0.000000,392,471,4322,192,0
14,5244,0,949086.813883,1043414.500000,6.285088,0.000079,0.000021,0.594789,0.069031,0.084287,0.390305,0.000000,362,442,4210,230,0
15,5189,0,1221766.379071,1446170.000000,6.427828,0.000066,0.000016,0.698880,0.058200,0.089998,0.398347,0.000000,302,467,4229,190,1
16,5123,0,1195446.013078,1214684.000000,6.439391,0.000066,0.000015,0.695407,0.058950,0.085497,0.399680,0.000000,302,438,4175,208,0
17,4953,0,1100179.218655,1128220.000000,6.474662,0.000074,0.000015,0.776567,0.058752,0.088835,0.400955,0.000000,291,440,4008,212,2
18,5013,0,1073430.397766,1017298.000000,6.746260,0.000086,0.000010,1.073621,0.041293,0.093357,0.404339,0.000000,207,468,4142,196,0
19,5101,4899,1033397.747304,991588.000000,6.765536,0.000081,0.000013,0.887980,0.050578,0.092531,0.394789,0.000000,258,472,4174,196,1
