day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,82468,0.083077,0.048273,0.529951,0.000000,0.349117,0.088313,0.000255,0.004450,0.009555,0.018359,0.203046
1,29369,0.024848,0.157819,0.390854,0.000170,0.401954,0.134938,0.001839,0.010760,0.018727,0.040757,0.252727
2,22467,0.015149,0.183113,0.352383,0.000045,0.420706,0.146081,0.002448,0.010994,0.024347,0.042996,0.287020
3,19882,0.012673,0.192033,0.344533,0.000201,0.420179,0.147772,0.002314,0.014838,0.029424,0.040740,0.299145
4,17575,0.010759,0.209218,0.354139,0.000626,0.417183,0.134566,0.002674,0.012176,0.045861,0.032774,0.266749
5,17503,0.009579,0.204079,0.351026,0.000171,0.412215,0.132434,0.002457,0.010113,0.059533,0.032052,0.267754
6,16207,0.009992,0.191214,0.333374,0.000432,0.424261,0.117665,0.003270,0.011045,0.077868,0.032085,0.281300
7,14969,0.009962,0.189258,0.324137,0.000401,0.431225,0.118512,0.002338,0.009954,0.087314,0.026121,0.271614
8,14373,0.009426,0.197314,0.317262,0.000417,0.431712,0.112642,0.003966,0.009880,0.095178,0.028943,0.271930
9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
